COPT_LEMMA,POS 1,POS 2,FORMS,SENSES
ϫⲉ ,['8'],[' (purpose)'],"['ⲅⲉ', 'ⲧⲍⲉ', 'ϫ', 'ⲛϫⲉ', 'ϫⲉ']",[]
ⲡⲟⲗⲓⲥ,['31'],[],[],[]
ⲁⲅⲅⲉⲗⲟⲥ,['31'],[],[],[]
ⲯⲩⲭⲏ,['31'],[],"['ⲯⲓⲭⲏ', 'ⲯⲏⲭⲏ', 'ⲡⲯⲩⲭⲏ', 'ⲯⲉⲓⲭⲏ', 'ⲯⲩⲭⲏⲟⲩ']",[]
ⲓⲏⲥⲟⲩⲥ,['32'],[],"['ⲓⲉⲥⲟⲩ', 'ⲉⲓⲏⲥ', 'ⲥⲏⲓ', 'ⲏⲥ', 'ⲓⲏⲥⲟⲩ', 'ⲓⲏⲥ', 'ⲓⲥ']",[]
ⲫⲁⲓ ,['11'],[' (dem. pronoun)'],"['ⲧⲁⲉⲓ', 'ⲡⲁⲉⲓ', 'ⲛⲁⲉⲓ', 'ⲫⲉⲓ', '~ⲁⲓ', 'ⲑⲁⲓ', 'ⲧⲉⲓ', 'ⲧⲁⲓ', 'ⲡⲁⲓ', 'ⲫⲁⲓ', 'ⲛⲁⲓ']",[]
ⲛⲟⲩϯ ,['1'],[],"['ⲛⲟⲩⲑⲓ', 'ⲛⲟⲩⲧⲓ', 'ⲛⲟⲩⲇⲓ', '~ⲟⲩϯ', 'ϯⲫ', 'ⲫϯ', 'ⲛⲟⲩϯ']","[' ""god""']"
ⲛⲉϫⲓ ,['1'],[],['ⲛⲉϫⲓ'],"[' ""belly, womb""']"
ⲟⲩⲟϩⲉ ,['7'],[],"['ⲟⲩϩⲉ', 'ⲟⲩⲟϩ', 'ⲟⲩⲟϩⲉ']","[' ""and, indeed"" etc.']"
ⲱⲟⲩ ,['1'],[],"['ⲟⲩⲱ', 'ⲱⲟⲩ']","[' ""glory""']"
"ϩⲓϫⲉⲛ-, ϩⲓϫⲱ⸗",['8'],[],"['ϩⲓϫⲱ', 'ϩⲓⲧⲍⲉⲛ', 'ϩⲓϫⲱⲧⲉⲛ', 'ϩⲓϫⲱⲟⲩ', 'ϩⲓϫⲱⲛ', 'ϩⲓϫⲱⲥ', 'ϩⲓϫⲱⲕ', 'ϩⲓϫⲱϥ', 'ϩⲓϫⲱⲓ', 'ϩⲓϫⲉⲙ', 'ϩⲓϫⲉⲛ']",[]
ϣⲓⲡⲓ ,['5'],[],"['ϣⲓⲡⲉ', 'ϣⲓⲡⲓ']","[' ""be ashamed""']"
ⲑⲱⲕ ,['5'],[],"['ⲑⲟⲕⲥ', 'ⲧⲟϫⲓ', 'ⲑⲱⲕ']","[' ""kindle, heat""']"
ⲙⲉⲩⲓ ,['5'],[],"['ⲙⲉⲩ', 'ⲙⲏⲃⲓ', 'ⲙⲏⲟⲩⲓ', 'ⲙⲉⲩϩⲓ', 'ⲙⲉⲩⲉⲓ', 'ⲙⲉⲃⲓ', 'ⲙⲉⲩⲟⲩⲓ', 'ⲙⲉⲓ', 'ⲙⲉⲟⲩⲓ', 'ⲙⲉⲩⲓ']","[' ""think""']"
ⲕⲁϩⲓ ,['1'],[],"['ⲕⲁϩⲉⲓ', 'ⲕⲁϩⲓ']","[' ""earth, land""']"
ⲙⲉⲧ- ,['12'],[' (nominal abstract)'],"['ⲙⲉⲛⲧ', '~ⲉⲧ', 'ⲙⲉⲑ', 'ⲙⲏⲧ', 'ⲙⲉⲛ', 'ⲙⲉⲧ']",[]
ⲣⲉⲙ(ⲛ)-,['12'],[],"['ⲣⲱⲙ', 'ⲣⲉⲙⲉⲛ', 'ⲣⲉⲙ', 'ⲣⲉⲙⲛ', 'ⲣⲉⲙⲙ']",[]
ⲁⲛⲟⲕ ,['10'],[' (indep pronoun & augens)'],"['ⲑⲟⲕ', '~ⲑⲟⲕ', 'ⲛⲑⲱⲧⲉⲛ', 'ⲛⲧⲱⲟⲩ', 'ⲛⲑⲱⲟⲩ', 'ⲛⲑⲟϥ', 'ⲛⲑⲟⲥ', 'ⲛⲑⲟ', 'ⲛⲑⲟⲕ', 'ⲁⲛⲟⲕ', 'ⲑⲱⲟⲩ', 'ⲁⲛⲟⲛ']",[]
ⲁⲣⲉ- Second Present,['13'],[],"['ⲁⲟⲩ', 'ⲁⲫ', 'ⲁⲉⲓ', 'ⲁⲣⲉⲧⲉⲛ', 'ⲁⲓ', 'ⲁⲣⲉ', 'ⲁⲕ', 'ⲁⲧⲉⲧⲉⲛ', 'ⲁⲩ', 'ⲁⲛ', 'ⲁϥ', 'ⲁⲥ']",[]
ϣⲱⲡⲓ ,['5'],[],"['ϣⲱⲡⲏ', 'ⲥⲍⲱⲡⲓ', 'ⲥⲍⲟⲩⲡⲓ', 'ⲥⲍⲟⲡ', 'ϣⲱⲃⲓ', 'ϣⲱⲡⲓ', 'ϣⲟⲡ']","[' ""be, happen"" etc.']"
