ID,DICT,MOT,"MOT_TRI,C,60",CD_MOT,TYPE,"REF_LEMME,C,90",id_1,pos_1,id_2,pos_2,id_3,pos_3,id_4,pos_4,id_5,pos_5,id_6,pos_6,id_7,pos_7,id_8,pos_8,id_9,pos_9,id_10,pos_10
6494,DACT,ⲟⲩⲁϩⲉⲧⲟⲩ,ⲩϩⲧ ⲁⲉⲩ11,6494,2,63715,637,15,,,,,,,,,,,,,,,,,,
6495,DACT,~ⲁⲗⲁⲓⲡⲱⲣⲓⲁ,~ⲁⲗⲁⲓⲡⲱⲣⲓⲁ,6495,2,477031,4770,31,,,,,,,,,,,,,,,,,,
6496,DACT,ⲁⲣϫⲉⲓ,ⲁⲣϫⲉⲓ,6496,2,438135   438435,4381,35,4384,35,,,,,,,,,,,,,,,,
6497,DACT,ⲃⲉⲉⲗⲫⲉⲅⲱⲣ,ⲃⲉⲉⲗⲫⲉⲅⲱⲣ,6497,1,649733,6497,33,,,,,,,,,,,,,,,,,,
6498,DACT,ⲅⲁⲃⲁⲁ,ⲅⲁⲃⲁⲁ,6498,1,649833,6498,33,,,,,,,,,,,,,,,,,,
6499,DACT,ⲅⲁⲗⲅⲁⲗ,ⲅⲁⲗⲅⲁⲗ,6499,1,649933,6499,33,,,,,,,,,,,,,,,,,,
6500,DACT,ⲙⲁⲭⲙⲁⲥ,ⲙⲁⲭⲙⲁⲥ,6500,1,650033,6500,33,,,,,,,,,,,,,,,,,,
6501,DACT,ⲟⲩϩⲱ,ⲩϩ  ⲱ1,6501,2,609 5   7235 5,609,5,7235,5,,,,,,,,,,,,,,,,
6502,DACT,ⲧⲡⳉⲟ,ⲧⲡⳉ   ⲟ,6502,2,763 5,763,5,,,,,,,,,,,,,,,,,,
6503,DACT,ⲁⲡϣⲟ,ⲁⲡϣ   ⲟ,6503,2,6506 9,6506,9,,,,,,,,,,,,,,,,,,
6504,DACT,ⲁⲡϣⲱ,ⲁⲡϣ   ⲱ,6504,2,6506 9,6506,9,,,,,,,,,,,,,,,,,,
6505,DACT,ϣⲟ,ϣ ⲟ,6505,2,6506 1,6506,1,,,,,,,,,,,,,,,,,,
6506,DACT,"ϣⲟ (*) ""barren, wasteland""","ϣ ⲟ (*) ""barren, wasteland""",6506,1,6506 1   6506 9,6506,1,6506,9,,,,,,,,,,,,,,,,
6507,DACT,ϣⲱ,ϣ ⲱ,6507,2,6506 1,6506,1,,,,,,,,,,,,,,,,,,
6508,DACT,ⲁⲇⲁⲙⲁ,ⲁⲇⲁⲙⲁ,6508,1,650833,6508,33,,,,,,,,,,,,,,,,,,
6509,DACT,ⲁⲥⲥⲟⲩⲣ,ⲁⲥⲥⲟⲩⲣ,6509,1,650933,6509,33,,,,,,,,,,,,,,,,,,
6510,DACT,ⲉⲓⲙⲏⲧⲉⲓ,ⲉⲓⲙⲏⲧⲉⲓ,6510,2,627737,6277,37,,,,,,,,,,,,,,,,,,
6511,DACT,ⲥⲁⲗⲁⲙⲁⲛ,ⲥⲁⲗⲁⲙⲁⲛ,6511,1,651133,6511,33,,,,,,,,,,,,,,,,,,
6512,DACT,ⲥⲁⲗⲙⲁⲛⲁ,ⲥⲁⲗⲙⲁⲛⲁ,6512,2,651133,6511,33,,,,,,,,,,,,,,,,,,
6513,DACT,ⲥⲉⲃⲱⲓⲙ,ⲥⲉⲃⲱⲓⲙ,6513,1,651333,6513,33,,,,,,,,,,,,,,,,,,
6514,DACT,~ⲣⲣⲉ,~ⲣⲣ   ⲉ,6514,2,2432 1   3948 1,2432,1,3948,1,,,,,,,,,,,,,,,,
6515,DACT,~ⲁϭⲉ,~ϭ ⲁⲉ,6515,2,2905 1   3015 5,2905,1,3015,5,,,,,,,,,,,,,,,,
6516,DACT,ⲉϩⲛⲉϥ,ⲉϩⲛϥ   ⲉ,6516,2,4549 5,4549,5,,,,,,,,,,,,,,,,,,
6517,DACT,ⲙⲟⲩⲛⲅ,ⲙⲛⲅ ⲩ 1,6517,2,3029 5,3029,5,,,,,,,,,,,,,,,,,,
6518,DACT,ϩⲁⲃⲥⲛⲉ,ϩⲃⲥⲛ ⲁ  ⲉ,6518,2,736 5,736,5,,,,,,,,,,,,,,,,,,
6519,DACT,ϫⲉⲛⲧ,ϫⲛⲧ ⲉ,6519,2,512 8,512,8,,,,,,,,,,,,,,,,,,
6520,DACT,"ϭⲗⲃⲉ ""dry wood""","ϭⲗⲃ   ⲉ ""dry wood""",6520,1,6520 1,6520,1,,,,,,,,,,,,,,,,,,
6521,DACT,ϭⲗⲃⲉ,ϭⲗⲃ   ⲉ,6521,2,6520 1,6520,1,,,,,,,,,,,,,,,,,,
6522,DACT,"ϭⲣⲓ ""dig""","ϭⲣ  ⲓ2 ""dig""",6522,1,6522 5,6522,5,,,,,,,,,,,,,,,,,,
6523,DACT,ϭⲣⲓ,ϭⲣ  ⲓ2,6523,2,6522 5,6522,5,,,,,,,,,,,,,,,,,,
6524,DACT,"ⲙⲟⲩⲛⲙⲉ ""spring, fountain""","ⲙⲛⲙ ⲩ ⲉ1 ""spring, fountain""",6524,1,6524 1,6524,1,,,,,,,,,,,,,,,,,,
6525,DACT,ⲙⲟⲩⲛⲙⲉ,ⲙⲛⲙ ⲩ ⲉ1,6525,2,6524 1,6524,1,,,,,,,,,,,,,,,,,,
6526,DACT,ⲧⲛⲁ,ⲧⲛ  ⲁ,6526,2,598413,5984,13,,,,,,,,,,,,,,,,,,
6527,DACT,~ⲟⲟⲩ,~ⲩ ⲟ1,6527,2,834 1,834,1,,,,,,,,,,,,,,,,,,
6528,DACT,ⲁⲩⲟⲩ,ⲁⲩ  ⲩ21,6528,2,48 7     5713,48,7,57,13,,,,,,,,,,,,,,,,
6529,DACT,ⲥⲁⲁⲧⲟⲩ,ⲥⲧ ⲁⲁⲩ1,6529,2,1581 5,1581,5,,,,,,,,,,,,,,,,,,
6530,DACT,ⲥϯⲛ,ⲥⲧⲛ  ⲓ,6530,2,2228 4,2228,4,,,,,,,,,,,,,,,,,,
6531,DACT,ⲟⲩϩⲁⲕ,ⲩϩⲕ  ⲁ1,6531,2,609 5   7234 5,609,5,7234,5,,,,,,,,,,,,,,,,
6532,DACT,ⲟⲩϩⲁⲥ,ⲩϩⲥ  ⲁ1,6532,2,609 5   7234 5,609,5,7234,5,,,,,,,,,,,,,,,,
6533,DACT,ⲟⲩϩⲁϥ,ⲩϩϥ  ⲁ1,6533,2,609 5   7234 5,609,5,7234,5,,,,,,,,,,,,,,,,
6534,DACT,ⲁⲣⲕⲉⲩⲑⲟⲥ,ⲁⲣⲕⲉⲩⲑⲟⲥ,6534,1,653431,6534,31,,,,,,,,,,,,,,,,,,
6535,DACT,ⲇⲣⲩⲙⲟⲥ,ⲇⲣⲩⲙⲟⲥ,6535,1,653531,6535,31,,,,,,,,,,,,,,,,,,
6536,DACT,ⲥⲧⲣⲁⲧⲉⲓⲁ,ⲥⲧⲣⲁⲧⲉⲓⲁ,6536,2,653931   653731,6539,31,6537,31,,,,,,,,,,,,,,,,
6537,DACT,"ⲥⲧⲣⲁⲧⲉⲓφⲁ ""campaign, service""","ⲥⲧⲣⲁⲧⲉⲓⲁ (*) ""campaign, service""",6537,1,653731,6537,31,,,,,,,,,,,,,,,,,,
6538,DACT,ⲥⲧⲣⲁⲧⲓⲁ,ⲥⲧⲣⲁⲧⲓⲁ,6538,2,653931   653731,6539,31,6537,31,,,,,,,,,,,,,,,,
6539,DACT,"ⲥⲧⲣⲁⲧⲓⲁφ ""army""","ⲥⲧⲣⲁⲧⲓⲁ ""army""",6539,1,653931,6539,31,,,,,,,,,,,,,,,,,,
6540,DACT,ⲥⲩⲣⲓⲁ,ⲥⲩⲣⲓⲁ,6540,1,654033,6540,33,,,,,,,,,,,,,,,,,,
6541,DACT,ⲧⲣⲩⲫⲁ,ⲧⲣⲩⲫⲁ,6541,1,654135,6541,35,,,,,,,,,,,,,,,,,,
6542,DACT,ⲭⲁⲛⲁⲁⲛ,ⲭⲁⲛⲁⲁⲛ,6542,1,654233,6542,33,,,,,,,,,,,,,,,,,,
6543,DACT,ⲭⲟⲛⲉⲩⲧⲟⲛ,ⲭⲟⲛⲉⲩⲧⲟⲛ,6543,2,585631   654434,5856,31,6544,34,,,,,,,,,,,,,,,,
6544,DACT,ⲭⲱⲛⲉⲩⲧⲟⲥ,ⲭⲱⲛⲉⲩⲧⲟⲥ,6544,1,654434,6544,34,,,,,,,,,,,,,,,,,,
6545,DACT,"ⲗⲓⲃⲁⲛⲟⲥ ""frankincense (tree)""","ⲗⲓⲃⲁⲛⲟⲥ ""frankincense (tree)""",6545,1,654531,6545,31,,,,,,,,,,,,,,,,,,
6546,DACT,ⲁⲙⲃⲁⲕⲟⲩⲙ,ⲁⲙⲃⲁⲕⲟⲩⲙ,6546,1,654632,6546,32,,,,,,,,,,,,,,,,,,
6547,DACT,ⲟⲩⲥⲓⲁ,ⲟⲩⲥⲓⲁ,6547,1,654731,6547,31,,,,,,,,,,,,,,,,,,
6548,DACT,ⲭⲁⲗⲇⲁⲓⲟⲥ,ⲭⲁⲗⲇⲁⲓⲟⲥ,6548,1,654833,6548,33,,,,,,,,,,,,,,,,,,
6549,DACT,ϫⲁⲗⲇⲁⲓⲟⲥ,ϫⲁⲗⲇⲁⲓⲟⲥ,6549,2,654833,6548,33,,,,,,,,,,,,,,,,,,
6550,DACT,"ⲁⲉⲓⲙⲉ ""hook""","ⲁⲓⲙ   ⲉ1 ""hook""",6550,1,6550 1,6550,1,,,,,,,,,,,,,,,,,,
6551,DACT,ⲁⲉⲓⲙⲉ,ⲁⲓⲙ   ⲉ1,6551,2,6550 1,6550,1,,,,,,,,,,,,,,,,,,
6552,DACT,"ⲁⲃⲟⲩ ""drag net""","ⲁⲃ  ⲩ1 ""drag net""",6552,1,6552 1,6552,1,,,,,,,,,,,,,,,,,,
6553,DACT,ⲁⲃⲟⲩ,ⲁⲃ  ⲩ1,6553,2,6552 1,6552,1,,,,,,,,,,,,,,,,,,
6554,DACT,ⲕⲟ,ⲕ ⲟ,6554,2,482 5   7225 5   7226 5   7227 5   7228 5    480 5,482,5,7225,5,7226,5,7227,5,7228,5,480,5,,,,,,,,
