COPT_LEMMA,POS 1,POS 2,FORMS,SENSES
ϫⲉ ,['7'],"[' (discourse, explicatory)']","['ⲛϫⲉ', 'ϫ', 'ϫⲉ']",[]
ⲁⲙⲟⲩ ,['5'],[],"['ⲁⲙⲏⲓⲛⲉ', 'ⲁⲙⲏⲉⲓⲛⲉ', 'ⲁⲙⲉⲓ', 'ⲁⲙⲟⲩ']","[' ""come!""']"
ⲧⲉ- ,['13'],[' (Conjunctive)'],"['ϥϥ', 'ⲧⲉⲧⲙ', 'ⲛϥ', 'ⲛⲥ', 'ⲛⲧⲁ', 'ⲛⲧⲛ', 'ⲛⲥⲟⲩ', 'ⲛⲧϥ', 'ⲛⲥⲉ', 'ⲥⲟⲩ', 'ⲧⲉⲧⲛ', 'ⲧⲁ', 'ⲥ', 'ⲥⲉ', 'ⲧⲙ', 'ⲧⲛ', 'ⲕ', 'ⲧⲉ', 'ϥ']",[]
ⲡⲓ- ,['11'],[' (dem. article)'],"['~ⲓ', 'ⲧⲉⲓ', 'ⲛⲓ', 'ⲡⲉⲓ', 'ⲡⲓ', 'ⲛⲉⲓ', 'ϯ']",[]
ⲇⲓⲕⲁⲓⲟⲥ,['34'],[],['ⲇⲓⲕⲁⲓⲟⲛ'],[]
"ⲉⲧⲉ-, ⲉⲧ- ",['12'],[' (rel. converter)'],"['~ⲧⲉ', '~ⲧ', 'ⲉⲑ', 'ⲉⲧⲉ', 'ⲉⲧ']",[]
"ⲛⲁϣⲉ-, ⲛⲁϣⲱ⸗",['5'],[],"['ⲛⲁϣⲟⲟⲩ', 'ⲛⲁⲁϣⲱⲟⲩ', 'ⲛⲁⲁϣⲟⲟⲩ', 'ⲛⲁⲁϣⲱϥ', 'ⲛⲁⲁϣⲱⲥ', 'ⲛⲁϣⲱϥ', 'ⲛⲁϣⲉ', 'ⲛⲁϣⲱⲥ', 'ⲛⲁϣⲱⲟⲩ']",[]
ⲕⲗⲏⲣⲟⲥ,['31'],[],[],[]
"ϩⲓ-, ϩⲓⲱⲱ⸗",['8'],[],"['ⲛϩⲓ', 'ϩⲓⲱⲧⲛ', 'ϩⲓⲱⲱⲉ', 'ϩⲓⲱⲱⲧⲛ', 'ϩⲓⲟⲱⲛⲉ', 'ϩⲓϩⲱⲱϥ', 'ϩⲉ', 'ϩⲓⲟⲟϥ', '~ⲓ', 'ϩⲓⲱⲧ', 'ϩⲓⲱⲱⲧⲉ', 'ϩⲓⲱⲱⲥ', 'ϩⲓⲱⲱⲛⲉ', 'ϩⲓⲱⲱⲕ', 'ϩⲓⲱⲱⲧ', 'ϩⲉⲓ', 'ϩⲓⲱⲟⲩⲉ', 'ϩⲓⲱⲱⲧⲛⲉ', 'ϩⲓⲱⲱϥ', 'ϩⲓ']",[]
ⳉⲟ ,['1'],[],"['~ⲱⲟⲩⲉ', 'ⳉⲱ', 'ⳉⲟⲟⲩ', 'ⳉⲱⲟⲩⲉ', 'ⳉⲱⲟⲩ', 'ⳉⲟ']","[' ""road""']"
ⲉ- ,['12'],[' (circumst. converter)'],['ⲉ'],[]
ⲉ- ,['13'],[' (Circumst. Present)'],"['ⲉⲟⲩ', 'ⲉⲣⲉ', 'ⲉⲙ', 'ⲉⲧⲉⲧⲛ', 'ⲉⲕ', 'ⲉⲓ', 'ⲉⲥ', 'ⲉⲛ', 'ⲉ', 'ⲉⲩ', 'ⲉϥ', 'ⲉⲉⲓ']",[]
ⲉⲧⲉ- ,['13'],[' (Rel. Present)'],"['ⲉⲧⲉϥ', '~ⲧⲉⲣⲉ', 'ⲉⲧⲛ', 'ⲉⲧⲕ', '~ⲧⲉ', '~ⲧϥ', '~ⲧⲥ', '~ⲧⲛ', '~ⲧⲕ', '~ⲧⲟⲩ', '~ϯ', 'ⲉⲧⲉⲧⲛ', 'ⲉⲧⲉⲣⲉ', 'ⲉⲧϥ', 'ⲉⲧⲥ', '~ⲧⲉⲧⲛ', 'ⲉⲧⲟⲩ', 'ⲉⲧⲉ', 'ⲉϯ']",[]
ⲕⲁⲕⲓⲁ,['31'],[],[],[]
ⲁⲓ̈ⲉⲩ(ⲧⲉ) ,['5'],[],"['ⲁⲓⲉⲓ', 'ⲁⲓⲉⲩⲉ', 'ⲁⲉⲓⲉⲩⲉ', 'ⲁⲓⲉⲩⲧⲉ', 'ⲁⲉⲓⲉⲩⲧⲉ', 'ⲁⲉⲓⲉⲩ', 'ⲁⲓⲉⲩ', 'ⲁⲓ', 'ⲁⲉⲓ']","[' ""be great""']"
ⲁⲛⲁⲕ ,['10'],[' (augens)'],"['ⲛⲧⲁⲁϥ', 'ⲛⲧⲱⲱⲧⲛⲉ', 'ⲛⲧⲁⲟⲩ', 'ⲛⲧⲱⲧⲛ', 'ⲛⲧⲁⲥ', 'ⲛⲧⲱ', 'ⲛⲧⲟ', 'ⲛⲧⲁⲕ', 'ⲁⲛⲁⲛ', 'ⲛⲧⲁϥ', 'ⲛⲧⲱⲧⲛⲉ', 'ⲁⲛⲁⲕ', 'ⲛⲧⲁⲩ']",[]
ⲙⲉⲧⲉⲭⲉ,['35'],[],[],[]
ϩⲁⲩ† ,['5'],[],"['ϩⲁⲟⲩ', 'ⲡⲉⲑⲁⲩ', '~ⲁⲩ', 'ϩⲁⲩ', 'ⲁⲩ']","[' ""be bad""']"
ⲡⲁⲣⲁⲛⲟⲙⲟⲥ,['31'],[],[],[]
ⲯⲩⲭⲏ,['31'],[],[],[]
ⲡⲉ ,['6'],[' (background particle)'],['ⲡⲉ'],[]
ⲧⲉ- ,['13'],[' (Caus. Inf.)'],"['ⲧⲉⲧⲙ', '~ⲛ', 'ⲧⲉⲧⲉⲧⲛ', 'ⲧⲉⲥ', 'ⲧⲉⲕ', 'ⲧⲥ', 'ⲧϥ', 'ⲧⲉϥ', 'ⲧⲉⲧⲛ', 'ⲧⲁ', 'ⲧⲟⲩ', 'ⲧⲙ', 'ⲧⲛ', 'ⲧⲕ', 'ⲧⲉ']",[]
ⲛⲉ- ,['12'],[' (pret. converter)'],"['ⲉⲛⲉ', 'ⲛⲉ', 'ⲛⲁ']",[]
